adm2_en,2000-09,2000-10,2000-11,2001-05,2001-06,2001-07,2001-09,2001-11,2001-12,2002-01,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2004-05,2004-06,2004-07,2004-11,2004-12,2005-03,2005-08,2005-09,2005-11,2006-05,2006-09,2006-10,2006-11,2006-12,2007-11,2008-05,2008-06,2008-08,2008-09,2009-05,2009-06,2009-07,2009-09,2009-10,2010-07,2010-10,2011-05,2011-07,2011-08,2011-09,2011-10,2011-12,2012-06,2012-08,2012-10,2012-12,2013-01,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2014-01,2014-02,2014-07,2014-09,2014-12,2015-01,2015-04,2015-05,2015-07,2015-08,2015-10,2015-12,2016-07,2016-09,2016-10,2016-11,2016-12,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-09,2018-10,2018-11,2019-07,2019-08,2019-11,2019-12,2020-05,2020-10,2020-11,2021-06,2021-09,2021-10,2021-12,2022-04,2022-08,2022-09,2022-10,2023-07,2023-08,2023-12,2024-05,2024-09,2024-10,2024-11
Abra,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23636,0.13189,0,0,0.0156,0,0,0,0,0.20861,0,0,0,0,0,0,0,0,0,0.42368,0.13147,0,0,0,0.08242,0,0,0,0.28062,0,0,0,0.04048,0,0,0,0,0,0.02059,0,0,0,0,0,0,0,0,0,0,0,0,0.24713,0,0,0,0,0.02423,0,0.16422,0,0.15366,0,0.41827,0,0,0.01735,0,0.00428,0,0,0,0,0.54369,0.09725,0,0,0,0.01012,0,0.00112,0,0,0,0,0.08242,0,0,0.08124,0,0,0,0,0,0,0.01427,0.14217,0.14566
Agusan Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03563,0,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01581,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agusan Del Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05144,0,0,0.00056,0.58521,0,0,0,0,0,0,0,0,0,0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06908,0,0.00084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aklan,0,0,0,0,0,0,0,0.03359,0.00112,0,0,0,0,0,0,0,0,0.0506,0,0,0,0.02593,0,0.01251,0,0,0,0,0,0,0,0.41862,0.00028,0,0,0,0,0,0.00688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892,0.0026,0,0,0,0,0,0,0.54369,0.00056,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53385,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albay,0,0.24148,0.13013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14546,0,0,0,0,0,0.15114,0.58156,0,0.68484,0,0,0,0,0,0,0.01251,0.01376,0,0,0,0,0,0.00168,0.01251,0,0,0,0,0,0,0,0,0,0.00112,0,0,0,0,0,0,0,0.52085,0,0.40654,0.02319,0,0,0,0,0,0.52296,0,0,0,0,0.88376,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68484,0.27388,0.66995,0.31541,0.00056,0.06072,0,0,0,0,0,0.06655,0,0,0,0,0.0026,0,0
Antique,0,0,0,0,0,0,0,0.04343,0.00112,0,0,0,0,0,0,0,0,0.04048,0,0,0,0.04624,0,0.01251,0,0,0,0.11643,0,0,0,0.42874,0.00056,0,0,0,0,0,0.00688,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01208,0.00112,0,0,0,0,0,0,0.45656,0.00056,0.00028,0,0,0.00084,0,0,0,0,0,0,0,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47483,0,0,0,0,0,0,0.17565,0,0,0,0,0,0,0,0,0,0,0
Apayao,0.01012,0,0,0,0,0.15366,0,0,0,0,0,0,0,0,0.11608,0,0,0.04947,0,0,0,0,0,0,0.01376,0.04259,0,0,0,0,0,0,0.42157,0.08025,0,0.37182,0,0.04841,0,0,0,0.69798,0,0,0.00112,0.02024,0,0,0,0,0,0.03984,0,0,0,0,0.00056,0,0,0.27845,0,0,0,0,0.27798,0,0,0,0,0.03091,0,0.08039,0,0.23158,0,0.68836,0,0,0.00688,0,0.00112,0,0,0,0,0.96027,0,0,0,0,0.05403,0,0.00056,0,0,0,0,0.12304,0,0,0.10155,0,0.06093,0,0,0,0,0.01427,0.10155,0.67817
Aurora,0,0.07434,0.08945,0,0,0,0,0,0,0,0,0.01307,0,0.29749,0,0,0.05643,0.03043,0,0,0,0.00028,0.26622,0,0,0,0.00056,0,0.06324,0.5855,0.75131,0,0.17305,0.03612,0.24788,0,0,0.06872,0,0,0.00892,0.11634,0.11446,0,0.01236,0.0506,0,0.42143,0.49837,0,0,0,0,0,0,0,0,0.5855,0,0.18226,0,0,0,0,0,0,0.00028,0.00548,0,0.03036,0,1.11956,0,0,0,0.49837,0,0,0.03106,0,0,0,0,0,0,0,0.27915,0,0,0,0,0,0.04996,0.00112,0.28197,0,0,0,0,0,0.06093,0.41827,0.07674,0,0,0,0.13364,0.04083,0.12186,0.88644
Bataan,0,0.09458,0.06092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04841,0.23763,0,0,0,0,0,0.34407,0,0,0,0.01376,0,0.01208,0.10273,0.19238,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0,0,0,0,0,0,0,0.32454,0,0.02291,0,0,0,0,0,0,0.09359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02937,0,0.23538,0.00112,0.06072,0,0,0,0,0.15521,0.06655,0,0,0,0.03612,0,0,0
Batanes,0.06072,0,0,0.07786,0.19757,0.0078,1.15387,0,0,0,0.1012,0,0.07674,0,0.0506,0.31042,0,0,0,0.41364,0.07357,0,0,0,0,0,0,0,0,0,0,0,0.03844,0,0,0,0,0,0,0.12914,0,0,0,0,0.0014,0,0.22126,0,0,0,0.01032,0,0,0,0,0,0,0.05643,1.02393,0,0,0,0,0,0,0,0,0,1.00377,0,0,0,0,0,0.98008,0.00056,0,0,0.01208,0.00028,0,0,0,0,0,0,0,0,0,0.06093,0,0,0,0,0.10155,0,1.39456,0,0,0,0,0,0,0,0,0,0,0.76846,0,0
