province,year_month,exposure,year,month,mean_lights
Abra,,0.0,2012,4,0.189083948
Abra,,0.0,2012,5,0.114759897
Abra,2012-06,0.0,2012,6,-0.014488887
Abra,,0.0,2012,7,0.000209
Abra,2012-08,0.02059,2012,8,0.058052955
Abra,,0.0,2012,9,0.094752779
Abra,2012-10,0.0,2012,10,0.035790103
Abra,,0.0,2012,11,-0.089074389
Abra,2012-12,0.0,2012,12,-0.133006922
Abra,2013-01,0.0,2013,1,-0.044947745
Abra,,0.0,2013,2,0.093359366
Abra,,0.0,2013,3,0.078958501
Abra,,0.0,2013,4,0.101263884
Abra,,0.0,2013,5,0.092213351
Abra,2013-06,0.0,2013,6,0.074605504
Abra,2013-07,0.0,2013,7,-0.049860072
Abra,2013-08,0.0,2013,8,0.063264831
Abra,2013-09,0.0,2013,9,0.073145544
Abra,2013-10,0.0,2013,10,0.120101132
Abra,2013-11,0.0,2013,11,0.012534948
Abra,,0.0,2013,12,-0.071822534
Abra,2014-01,0.0,2014,1,-0.011058241
Abra,2014-02,0.0,2014,2,0.00969128
Abra,,0.0,2014,3,0.01398845
Abra,,0.0,2014,4,0.179253715
Abra,,0.0,2014,5,0.086008327
Abra,,0.0,2014,6,0.023045422
Abra,2014-07,0.0,2014,7,0.019555788
Abra,,0.0,2014,8,0.10784928
Abra,2014-09,0.24713,2014,9,0.074330061
Abra,,0.0,2014,10,0.022213482
Abra,,0.0,2014,11,-0.179934501
Abra,2014-12,0.0,2014,12,-0.029679473
Abra,2015-01,0.0,2015,1,0.043530127
Abra,,0.0,2015,2,0.084148349
Abra,,0.0,2015,3,0.137669502
Abra,2015-04,0.0,2015,4,0.189951413
Abra,2015-05,0.0,2015,5,0.039098454
Abra,,0.0,2015,6,0.019635331
Abra,2015-07,0.02423,2015,7,0.020792596
Abra,2015-08,0.0,2015,8,0.045970198
Abra,,0.0,2015,9,0.005569917
Abra,2015-10,0.16422,2015,10,-0.021252338
Abra,,0.0,2015,11,0.003445978
Abra,2015-12,0.0,2015,12,-0.056224132
Abra,,0.0,2016,1,-0.134695327
Abra,,0.0,2016,2,-0.062634321
Abra,,0.0,2016,3,-0.00952265
Abra,,0.0,2016,4,0.160579251
Abra,,0.0,2016,5,0.162584565
Abra,,0.0,2016,6,-0.036865879
Abra,2016-07,0.15366,2016,7,-0.041381257
Abra,,0.0,2016,8,-0.039992735
Abra,2016-09,0.0,2016,9,0.015257922
Abra,2016-10,0.41827,2016,10,0.053670568
Abra,2016-11,0.0,2016,11,-0.073530852
Abra,2016-12,0.0,2016,12,-0.103531391
Abra,,0.0,2017,1,-0.007680825
Abra,,0.0,2017,2,0.12812412
Abra,,0.0,2017,3,0.222188398
Abra,,0.0,2017,4,0.346025191
Abra,,0.0,2017,5,0.426664471
Abra,,0.0,2017,6,0.185634733
Abra,,0.0,2017,7,0.091133426
Abra,2017-08,0.01735,2017,8,0.168808379
Abra,2017-09,0.0,2017,9,0.278731554
Abra,2017-10,0.00428,2017,10,0.299297606
Abra,2017-11,0.0,2017,11,0.166634541
Abra,2017-12,0.0,2017,12,0.083110067
Abra,2018-01,0.0,2018,1,0.143528847
Abra,2018-02,0.0,2018,2,0.198740168
