province,year,month,mean_lights
Guimaras,2012,4,0.161791131
Iloilo,2012,4,0.294599741
Biliran,2012,4,0.165201179
Leyte,2012,4,0.263498635
Saranggani,2012,4,0.123070805
South Cotabato,2012,4,0.362373953
Compostela,2012,4,0.160073187
Davao del Norte,2012,4,0.241868745
Zamboanga Sibugay,2012,4,0.153116938
Zamboanga Del Sur,2012,4,0.209416758
Dinagat,2012,4,0.186160474
Surigao Del Norte,2012,4,0.160322503
Maguindanao,2012,4,0.072916019
Shariff Kabunsuan,2012,4,0.075825223
Abra,2012,4,0.189083948
Apayao,2012,4,0.175889679
Benguet,2012,4,0.487402426
Ifugao,2012,4,0.229158694
Kalinga,2012,4,0.184515107
Mountain Province,2012,4,0.201033619
Metropolitan Manila,2012,4,17.54868868
Ilocos Norte,2012,4,0.303424041
Ilocos Sur,2012,4,0.290192486
La Union,2012,4,0.41345614
Pangasinan,2012,4,0.445285741
Batanes,2012,4,0.180822843
Cagayan,2012,4,0.21224481
Isabela,2012,4,0.244073478
Nueva Vizcaya,2012,4,0.206831837
Quirino,2012,4,0.182606549
Albay,2012,4,0.343259106
Camarines Norte,2012,4,0.212638971
Camarines Sur,2012,4,0.263363824
Catanduanes,2012,4,0.176488291
Masbate,2012,4,0.154931548
Sorsogon,2012,4,0.232548808
Aklan,2012,4,0.221752805
Antique,2012,4,0.193123031
Capiz,2012,4,0.189053086
Negros Occidental,2012,4,0.305128643
Bohol,2012,4,0.181180298
Cebu,2012,4,0.832285853
Negros Oriental,2012,4,0.20422899
Siquijor,2012,4,0.160310062
Eastern Samar,2012,4,0.145291984
Northern Samar,2012,4,0.168433383
Southern Leyte,2012,4,0.162796514
Samar,2012,4,0.146845921
Agusan Del Norte,2012,4,0.167331959
Agusan Del Sur,2012,4,0.102802144
Surigao Del Sur,2012,4,0.123715422
Lanao Del Sur,2012,4,0.134303705
Sulu,2012,4,0.122304449
Tawi-tawi,2012,4,0.095551534
Basilan,2012,4,0.113148187
Zamboanga Del Norte,2012,4,0.160712294
Bukidnon,2012,4,0.157272221
Camiguin,2012,4,0.150387754
Misamis Occidental,2012,4,0.145948749
Misamis Oriental,2012,4,0.502029876
Lanao Del Norte,2012,4,0.195339431
Davao Del Sur,2012,4,0.433182729
Davao Oriental,2012,4,0.118880256
North Cotabato,2012,4,0.091492801
Sultan Kudarat,2012,4,0.132490333
Bataan,2012,4,0.971422374
Bulacan,2012,4,0.922651844
Nueva Ecija,2012,4,0.35184089
Pampanga,2012,4,1.591493867
Tarlac,2012,4,0.509133157
Zambales,2012,4,0.404217117
Aurora,2012,4,0.186783482
Batangas,2012,4,0.933571205
Cavite,2012,4,2.374020926
Laguna,2012,4,1.683389772
Quezon,2012,4,0.261358999
Rizal,2012,4,1.14663027
Marinduque,2012,4,0.194611145
Mindoro Occidental,2012,4,0.191032353
Mindoro Oriental,2012,4,0.197999525
Palawan,2012,4,0.144385503
Romblon,2012,4,0.16233904
Guimaras,2012,5,0.129679365
Iloilo,2012,5,0.249070856
Biliran,2012,5,0.091092884
Leyte,2012,5,0.185442589
Saranggani,2012,5,0.061855348
South Cotabato,2012,5,0.269081549
Compostela,2012,5,0.070217138
Davao del Norte,2012,5,0.120739415
Zamboanga Sibugay,2012,5,0.058529671
Zamboanga Del Sur,2012,5,0.115739611
Dinagat,2012,5,0.164663691
Surigao Del Norte,2012,5,0.1233547
Maguindanao,2012,5,0.04914119
Shariff Kabunsuan,2012,5,0.051107146
Abra,2012,5,0.114759897
Apayao,2012,5,0.077679084
Benguet,2012,5,0.30355134
Ifugao,2012,5,0.091950672
Kalinga,2012,5,0.078600591
Mountain Province,2012,5,0.070635527
Metropolitan Manila,2012,5,6.341023881
Ilocos Norte,2012,5,0.084270038
Ilocos Sur,2012,5,0.092905145
La Union,2012,5,0.145018764
Pangasinan,2012,5,0.136032692
Batanes,2012,5,0.164338491
Cagayan,2012,5,0.094909837
Isabela,2012,5,0.134447334
Nueva Vizcaya,2012,5,0.116603711
Quirino,2012,5,0.130372746
Albay,2012,5,0.207535723
Camarines Norte,2012,5,0.116912355
Camarines Sur,2012,5,0.153562245
Catanduanes,2012,5,0.074175365
Masbate,2012,5,0.100278052
Sorsogon,2012,5,0.134721529
Aklan,2012,5,0.118477617
Antique,2012,5,0.129537855
Capiz,2012,5,0.141244456
Negros Occidental,2012,5,0.216855901
Bohol,2012,5,0.103947999
Cebu,2012,5,0.75324632
Negros Oriental,2012,5,0.143525624
Siquijor,2012,5,0.108733875
Eastern Samar,2012,5,0.073463811
Northern Samar,2012,5,0.075198712
Southern Leyte,2012,5,0.103479492
Samar,2012,5,0.071242627
Agusan Del Norte,2012,5,0.127737011
Agusan Del Sur,2012,5,0.088295902
Surigao Del Sur,2012,5,0.078362133
Lanao Del Sur,2012,5,0.115295416
Sulu,2012,5,0.041591111
Tawi-tawi,2012,5,0.03030003
Basilan,2012,5,0.030709301
Zamboanga Del Norte,2012,5,0.064106861
Bukidnon,2012,5,0.122650983
Camiguin,2012,5,0.093726881
Misamis Occidental,2012,5,0.105259872
Misamis Oriental,2012,5,0.378855686
Lanao Del Norte,2012,5,0.085984973
Davao Del Sur,2012,5,0.120047677
Davao Oriental,2012,5,0.040428647
North Cotabato,2012,5,0.086946021
Sultan Kudarat,2012,5,0.061359927
Bataan,2012,5,0.387512741
Bulacan,2012,5,0.286643197
Nueva Ecija,2012,5,0.148761787
Pampanga,2012,5,1.053952162
Tarlac,2012,5,0.372426457
Zambales,2012,5,0.149754717
Aurora,2012,5,0.10556504
Batangas,2012,5,0.564090409
Cavite,2012,5,1.411145479
Laguna,2012,5,1.197720931
Quezon,2012,5,0.147510823
Rizal,2012,5,0.6754008
Marinduque,2012,5,0.10533675
Mindoro Occidental,2012,5,0.093729407
Mindoro Oriental,2012,5,0.134671242
Palawan,2012,5,0.03482141
Romblon,2012,5,0.104684889
Guimaras,2012,6,-0.090218751
Iloilo,2012,6,0.039697856
Biliran,2012,6,-0.075273742
Leyte,2012,6,-0.002387099
Saranggani,2012,6,-0.097305617
South Cotabato,2012,6,0.184185157
Compostela,2012,6,-0.088290413
Davao del Norte,2012,6,0.036073754
Zamboanga Sibugay,2012,6,-4.28E-04
Zamboanga Del Sur,2012,6,0.042011482
Dinagat,2012,6,0.002362126
Surigao Del Norte,2012,6,0.010580589
Maguindanao,2012,6,-0.071892488
Shariff Kabunsuan,2012,6,-0.054530124
Abra,2012,6,-0.014488887
Apayao,2012,6,-0.012196012
Benguet,2012,6,0.225003386
Ifugao,2012,6,-0.002945536
Kalinga,2012,6,-0.01789783
Mountain Province,2012,6,-0.016127829
Metropolitan Manila,2012,6,9.458839839
Ilocos Norte,2012,6,0.047216171
Ilocos Sur,2012,6,0.043137341
La Union,2012,6,0.110138973
Pangasinan,2012,6,0.097953905
Batanes,2012,6,0.004707929
Cagayan,2012,6,0.005811742
Isabela,2012,6,0.013636514
Nueva Vizcaya,2012,6,-0.008827386
Quirino,2012,6,2.04E-04
Albay,2012,6,0.082202585
Camarines Norte,2012,6,0.012044868
Camarines Sur,2012,6,0.023563934
Catanduanes,2012,6,-0.018967591
Masbate,2012,6,-0.048396269
Sorsogon,2012,6,-0.009511057
Aklan,2012,6,-0.032447486
Antique,2012,6,-0.040777983
Capiz,2012,6,-0.066843612
Negros Occidental,2012,6,0.074862873
Bohol,2012,6,-0.074633997
Cebu,2012,6,0.672756103
Negros Oriental,2012,6,0.00261727
Siquijor,2012,6,-0.090594954
Eastern Samar,2012,6,-0.112121516
Northern Samar,2012,6,-0.064845235
Southern Leyte,2012,6,-0.102007194
Samar,2012,6,-0.090239468
Agusan Del Norte,2012,6,-0.041506406
Agusan Del Sur,2012,6,-0.072952449
Surigao Del Sur,2012,6,-0.035654152
Lanao Del Sur,2012,6,-0.044152649
Sulu,2012,6,-0.030945825
Tawi-tawi,2012,6,-0.031487029
Basilan,2012,6,-0.053428302
Zamboanga Del Norte,2012,6,-0.015637039
Bukidnon,2012,6,-0.052500197
Camiguin,2012,6,-0.070941917
Misamis Occidental,2012,6,-0.021586254
Misamis Oriental,2012,6,0.273161833
Lanao Del Norte,2012,6,-0.076062893
Davao Del Sur,2012,6,0.136195921
