psgc_code,name,corr_code,geo_level,city_class,inc_class,urb_rur,pop_2015,pop_2020,status,adm2_pcode,adm2_en,adm2_alt,adm1_pcode,adm0_pcode,shape_len,shape_area,shape_sqkm,poverty_wide_poverty_2018,poverty_wide_poverty_2021,poverty_wide_poverty_2023,final_merged_wide_exposure_2012_06,final_merged_wide_exposure_2012_08,final_merged_wide_exposure_2012_10,final_merged_wide_exposure_2012_12,final_merged_wide_exposure_2013_01,final_merged_wide_exposure_2013_06,final_merged_wide_exposure_2013_07,final_merged_wide_exposure_2013_08,final_merged_wide_exposure_2013_09,final_merged_wide_exposure_2013_10,final_merged_wide_exposure_2013_11,final_merged_wide_exposure_2014_01,final_merged_wide_exposure_2014_02,final_merged_wide_exposure_2014_07,final_merged_wide_exposure_2014_09,final_merged_wide_exposure_2014_12,final_merged_wide_exposure_2015_01,final_merged_wide_exposure_2015_04,final_merged_wide_exposure_2015_05,final_merged_wide_exposure_2015_07,final_merged_wide_exposure_2015_08,final_merged_wide_exposure_2015_10,final_merged_wide_exposure_2015_12,final_merged_wide_exposure_2016_07,final_merged_wide_exposure_2016_09,final_merged_wide_exposure_2016_10,final_merged_wide_exposure_2016_11,final_merged_wide_exposure_2016_12,final_merged_wide_exposure_2017_08,final_merged_wide_exposure_2017_09,final_merged_wide_exposure_2017_10,final_merged_wide_exposure_2017_11,final_merged_wide_exposure_2017_12,final_merged_wide_exposure_2018_01,final_merged_wide_exposure_2018_02,final_merged_wide_exposure_2018_09,final_merged_wide_exposure_2018_10,final_merged_wide_exposure_2018_11,final_merged_wide_exposure_2019_07,final_merged_wide_exposure_2019_08,final_merged_wide_exposure_2019_11,final_merged_wide_exposure_2019_12,final_merged_wide_exposure_2020_05,final_merged_wide_exposure_2020_10,final_merged_wide_exposure_2020_11,final_merged_wide_exposure_2021_06,final_merged_wide_exposure_2021_09,final_merged_wide_exposure_2021_10,final_merged_wide_exposure_2021_12,final_merged_wide_exposure_2022_04,final_merged_wide_exposure_2022_08,final_merged_wide_exposure_2022_09,final_merged_wide_exposure_2022_10,final_merged_wide_exposure_2023_07,final_merged_wide_exposure_2023_08,final_merged_wide_exposure_2023_12,final_merged_wide_exposure_2024_05,final_merged_wide_exposure_2024_09,final_merged_wide_exposure_2024_10,final_merged_wide_exposure_2024_11,final_merged_wide_mean_lights_2012_06,final_merged_wide_mean_lights_2012_08,final_merged_wide_mean_lights_2012_10,final_merged_wide_mean_lights_2012_12,final_merged_wide_mean_lights_2013_01,final_merged_wide_mean_lights_2013_06,final_merged_wide_mean_lights_2013_07,final_merged_wide_mean_lights_2013_08,final_merged_wide_mean_lights_2013_09,final_merged_wide_mean_lights_2013_10,final_merged_wide_mean_lights_2013_11,final_merged_wide_mean_lights_2014_01,final_merged_wide_mean_lights_2014_02,final_merged_wide_mean_lights_2014_07,final_merged_wide_mean_lights_2014_09,final_merged_wide_mean_lights_2014_12,final_merged_wide_mean_lights_2015_01,final_merged_wide_mean_lights_2015_04,final_merged_wide_mean_lights_2015_05,final_merged_wide_mean_lights_2015_07,final_merged_wide_mean_lights_2015_08,final_merged_wide_mean_lights_2015_10,final_merged_wide_mean_lights_2015_12,final_merged_wide_mean_lights_2016_07,final_merged_wide_mean_lights_2016_09,final_merged_wide_mean_lights_2016_10,final_merged_wide_mean_lights_2016_11,final_merged_wide_mean_lights_2016_12,final_merged_wide_mean_lights_2017_08,final_merged_wide_mean_lights_2017_09,final_merged_wide_mean_lights_2017_10,final_merged_wide_mean_lights_2017_11,final_merged_wide_mean_lights_2017_12,final_merged_wide_mean_lights_2018_01,final_merged_wide_mean_lights_2018_02,final_merged_wide_mean_lights_2018_09,final_merged_wide_mean_lights_2018_10,final_merged_wide_mean_lights_2018_11,final_merged_wide_mean_lights_2019_07,final_merged_wide_mean_lights_2019_08,final_merged_wide_mean_lights_2019_11,final_merged_wide_mean_lights_2019_12,final_merged_wide_mean_lights_2020_05,final_merged_wide_mean_lights_2020_10,final_merged_wide_mean_lights_2020_11,final_merged_wide_mean_lights_2021_06,final_merged_wide_mean_lights_2021_09,final_merged_wide_mean_lights_2021_10,final_merged_wide_mean_lights_2021_12,final_merged_wide_mean_lights_2022_04,final_merged_wide_mean_lights_2022_08,final_merged_wide_mean_lights_2022_09,final_merged_wide_mean_lights_2022_10,final_merged_wide_mean_lights_2023_07,final_merged_wide_mean_lights_2023_08,final_merged_wide_mean_lights_2023_12,final_merged_wide_mean_lights_2024_05,final_merged_wide_mean_lights_2024_09,final_merged_wide_mean_lights_2024_10,final_merged_wide_mean_lights_2024_11
"102800000",Ilocos Norte,12800000.000000000000000,Prov,,,1st,,,,PH01028,Ilocos Norte,,PH01,PH,2.850087463560000,0.279709346377000,3274.885080999999900,3,2,0,0,0.0364,0,0,0,0,0.00084,0,0,0.28857,0,0,0,0,0.26737,0,0,0,0,0.02064,0,0.16562,0,0.19757,0,0.57348,0,0,0.01032,0,0.00428,0,0,0,0,0.54369,0,0,0,0,0,0,0.00112,0,0,0,0,0.13674,0,0,0.08124,0,0.08903,0,0,0,0,0.01068,0.06093,0.66651,0.047216171,0.078909065,0.138511864,0.036034061,0.067541852,0.185832076,-0.012958348,0.119236164,0.160966341,0.231247969,0.129848847,0.124324089,0.12239977,0.09414129,0.173948683,0.121917956,0.228023574,0.33360187,0.149418077,0.102484812,0.122629401,0.081474937,0.063687849,0.055481413,0.091046185,0.164555618,0.058822299,0.021593078,0.27117391,0.404318142,0.410232731,0.287340608,0.230984362,0.267380687,0.310907643,0.299668379,0.334594644,0.275544588,0.225956908,0.250440524,0.224829717,0.210481738,0.388188939,0.334082774,0.345030709,0.43691512,0.442068057,0.436704281,0.419038196,0.599421874,0.390792086,0.428170001,0.454840057,0.44310939,0.56851546,0.48964515,0.662847043,0.562618703,0.582691829,0.498253691
"102900000",Ilocos Sur,12899999.999999998137355,Prov,,,1st,,,,PH01029,Ilocos Sur,,PH01,PH,4.152632367040000,0.209467240433000,2465.276034500000151,6,12,5,0,0.01715,0,0,0,0,0,0.31393,0,0,0,0,0,0,0.23701,0,0,0,0,0.02064,0,0.62183,0,0,0,0,0,0,0.01735,0,0.00428,0,0,0,0,0.22828,0.22745,0,0,0,0,0,0.00484,0.00084,0,0,0,0.06211,0,0,0.06093,0,0,0,0,0,0,0.01068,0.16248,0.73087,0.043137341,0.04584434,0.150676011,0.011315655,0.066020547,0.184753136,0.05060081,0.076580476,0.138395314,0.222174843,0.141345051,0.12911545,0.123550941,0.118821922,0.171471089,0.116790462,0.178287181,0.34267281,0.204513818,0.161369664,0.153709988,0.122425255,0.116616674,0.083807702,0.120699368,0.193383621,0.102303268,0.069466414,0.3546679,0.398963492,0.401469024,0.352887276,0.291004359,0.287621471,0.363596462,0.325296324,0.392378759,0.351223252,0.293501879,0.31352564,0.305646255,0.301044772,0.476923553,0.363096644,0.414039991,0.484542199,0.542435074,0.495117665,0.467484581,0.617322768,0.470978463,0.536718959,0.496449415,0.488537179,0.606624455,0.566045027,0.714038023,0.570558066,0.621278084,0.584414542
"103300000",La Union,13299999.999999998137355,Prov,,,1st,,,,PH01033,La Union,,PH01,PH,2.403317136720000,0.119607381331000,1412.570889509999915,3,7,6,0,0,0,0,0,0,0,0.42635,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58599,0,0,0,0.31393,0,0,0.01391,0,0.004,0,0,0,0,0,0.22745,0,0,0,0,0,0.00428,0.00112,0,0,0,0,0,0,0,0,0.02593,0,0,0,0,0,0.14217,0.71056,0.110138973,0.001646856,0.243040211,0.158722857,0.145586108,0.300913574,0.159497034,0.097392598,0.225782054,0.29755715,0.276933941,0.241800864,0.241866458,0.190257717,0.314210686,0.268392792,0.268127243,0.447568394,0.309266534,0.313842765,0.185649253,0.214854347,0.252536609,0.177365346,0.220413909,0.306615362,0.237235143,0.234303026,0.501402565,0.50479828,0.508677623,0.515295579,0.411171107,0.438174037,0.490983378,0.494322196,0.520722312,0.512243646,0.45289087,0.366452333,0.487455257,0.5151759,0.634724504,0.488334459,0.573395369,0.673487753,0.684841194,0.670517324,0.703341852,0.785685928,0.522947252,0.658802703,0.64671433,0.625171353,0.796924827,0.770569445,0.929130603,0.418928334,0.761848717,0.760891653
"105500000",Pangasinan,15500000.000000001862645,Prov,,,1st,,,,PH01055,Pangasinan,,PH01,PH,7.246191955450000,0.435199185478000,5154.618823169999814,9,14,11,0,0,0,0,0,0,0,0.12394,0,0.15802,0,0,0,0,0,0,0,0,0,0,0,0.67979,0,0,0,0.58402,0,0,0.01391,0,0,0,0,0,0,0,0.16527,0,0,0,0,0,0.01412,0.0014,0.14116,0.00576,0.04048,0,0,0,0,0.27915,0.05636,0,0,0,0,0,0.16248,0.09725,0.097953905,0.01950057,0.252793259,0.181963494,0.153749361,0.268373456,0.146752226,0.108271433,0.186747777,0.272476493,0.261813103,0.290500319,0.318901672,0.18207114,0.333598371,0.272616809,0.289166223,0.513796389,0.338235206,0.230737014,0.370252464,0.258257267,0.293049199,0.247326914,0.269593447,0.380280335,0.307432372,0.313114914,0.462341754,0.521935665,0.565785468,0.53977997,0.45296346,0.524710577,0.563195575,0.546260253,0.569479408,0.595511425,0.529270132,0.262746569,0.54238428,0.54725071,0.663825643,0.485268204,0.599472843,0.739054241,0.390033415,0.64695771,0.786577142,0.865996104,0.573381105,0.611810055,0.723583721,0.631529739,0.888273199,0.837556704,0.989051819,0.11646938,0.801980496,0.87068417
"200900000",Batanes,20900000.000000000000000,Prov,,,5th,,,,PH02009,Batanes,,PH02,PH,2.140564242810000,0.017443227846800,201.374821147999995,6,9,7,0.01032,0,0,0,0,0,0,0.05643,1.02393,0,0,0,0,0,0,0,0,0,1.00377,0,0,0,0,0,0.98008,0.00056,0,0,0.01208,0.00028,0,0,0,0,0,0,0,0,0,0.06093,0,0,0,0,0.10155,0,1.39456,0,0,0,0,0,0,0,0,0,0,0.76846,0,0,0.004707929,0.068518174,0.091982967,-0.120934548,-0.033379469,0.072326162,-0.034427783,0.075074109,0.083946307,0.149222657,0.047361141,-0.028945295,0.024328243,0.044152624,0.087308662,-0.030171414,0.009083751,0.208281703,0.032474181,0.009326852,0.003040767,0.000301,-0.020275992,-0.02279419,0.002111238,0.081180146,-0.007663939,-0.126842359,0.166034088,0.286877075,0.342604942,0.199861252,0.101424154,0.168595184,0.247403213,0.195654376,0.235335576,0.194386259,0.138955065,0.180373872,0.136906231,0.056599817,0.296382694,0.345718939,0.237240136,0.334415043,0.298945798,0.320157953,0.250316038,0.485900459,0.275134002,0.354756211,0.374667722,0.338716288,0.399942255,0.281215319,0.419142023,0.457248645,0.374462673,0.322474748
"201500000",Cagayan,21500000.000000000000000,Prov,,,1st,,,,PH02015,Cagayan,,PH02,PH,10.518335278300000,0.750946379433000,8797.495853469999929,13,7,6,0.01208,0.04672,0,0,0,0,0.00084,0,0,0.41364,0,0,0,0,0.36005,0,0,0.00028,1.83573,0.04771,0.48607,0.04511,0,0.25189,0,0.81434,0,0,0.01032,0.00028,0.0014,0,0,0,0,1.14857,0,0,0,0,0.29869,0,0,0,0,0,0.47244,0.14335,0,0,0.12186,0,0.10259,1.84713,0.29686,0,0,0.1796,0.10155,2.24003,0.005811742,0.011835711,0.088905617,-0.095649478,-0.038610754,0.106681563,0.034875644,0.050791996,0.116466947,0.155225559,0.066374214,0.009384301,0.026466932,0.046972418,0.128793682,0.010289362,0.049638398,0.254660106,0.087190969,0.03238738,0.073607854,0.015849548,-0.009698506,-0.003862013,0.04411029,0.089657236,-0.027612713,-0.094501761,0.235627957,0.331667677,0.380457298,0.235066949,0.146024007,0.165702069,0.225327401,0.234055983,0.290601085,0.211054204,0.190523595,0.228650441,0.185624776,0.115361764,0.34347013,0.271247039,0.257961507,0.365933673,0.353824285,0.371573532,0.285732452,0.50848354,0.31172401,0.417095953,0.403825423,0.385244257,0.472140238,0.349305857,0.516949846,0.527706975,0.496703655,0.400894977
"203100000",Isabela,23100000.000000000000000,Prov,,,1st,,,,PH02031,Isabela,,PH02,PH,5.588934449230000,0.890507201107000,10494.927583400000003,13,16,8,0,0.0172,0,0,0,0,0,0.46008,0,0,0,0,0,0,0.25633,0,0,0.00548,0,0.05439,0,0.0052,0,0.17257,0,0.5855,0,0,0.03106,0,0.00112,0,0,0,0,0,0.43858,0,0.00056,0,0.01012,0,0.004,0.00112,0,0,0,0,0,0,0.10155,0,0,0,0,0,0,0.04287,0.16248,0.788,0.013636514,0.005994386,0.111361312,-0.082304587,-0.010294352,0.112813225,0.060267192,0.072571888,0.120236873,0.1613589,0.083456018,0.040820794,0.058416257,0.067505703,0.150459215,0.024076855,0.084756898,0.256287163,0.130718885,0.125963656,0.095875432,0.057346186,0.031306514,0.036307721,0.08111287,0.142995067,-0.008145392,-0.04456552,0.259006696,0.349828436,0.368948993,0.247015417,0.15801777,0.157776443,0.246192032,0.291734532,0.316113833,0.234235597,0.250939527,0.224564961,0.210849059,0.160815503,0.379082345,0.261727192,0.280951894,0.392454072,0.378345683,0.385140064,0.313689813,0.521482948,0.359806359,0.435711248,0.385514762,0.399392665,0.489717209,0.361873239,0.51447092,0.554251493,0.473531358,0.422626591
"205000000",Nueva Vizcaya,24999999.999999996274710,Prov,,,2nd,,,,PH02050,Nueva Vizcaya,,PH02,PH,3.712481221430000,0.348874355340000,4125.921514390000084,12,11,7,0,0,0,0,0,0,0,0.58402,0,0.18226,0,0,0,0,0,0,0,0.00028,0,0,0,1.44269,0,0,0,0.46008,0,0,0.03106,0,0,0,0,0,0,0,0.31738,0,0,0,0,0,0.02993,0.00112,0.06324,0,0,0,0,0,0,0,0,0,0,0,0,0.03071,0.08124,0.97988,-0.008827386,-0.01335127,0.089723789,-0.099319805,-0.008957605,0.103067976,-0.029129089,0.013147089,0.076629141,0.132026963,0.048746978,0.04861752,0.053674029,0.019090755,0.124696975,-0.000357,0.051528754,0.259512352,0.096731852,0.074511705,0.118376303,0.042555975,-0.012467226,0.015902856,0.044410947,0.100170008,-0.002203477,-0.06226786,0.230155774,0.291605815,0.316209282,0.219626246,0.126045559,0.136117991,0.21508533,0.228141443,0.257104816,0.201668529,0.190074156,0.165018017,0.159089395,0.118991532,0.307994643,0.230364765,0.230784124,0.331657098,0.197147225,0.319115578,0.264691874,0.443616554,0.30390438,0.338456253,0.36102981,0.296942711,0.4193537,0.29260206,0.486474632,0.181598379,0.421776795,0.332439511
"205700000",Quirino,25700000.000000000000000,Prov,,,3rd,,,,PH02057,Quirino,,PH02,PH,2.976780809510000,0.234040521164000,2768.009782860000087,9,6,7,0,0,0,0,0,0,0,0.46008,0,0.18226,0,0,0,0,0,0,0,0.00548,0,0.03036,0,1.1679,0,0,0,0.27009,0,0,0.02762,0,0,0,0,0,0,0,0.43858,0,0,0,0,0,0.01384,0.00112,0,0,0,0,0,0,0.02031,0,0,0,0,0,0,0.04083,0.12186,0.85798,0.000204,-0.000615,0.096712832,-0.105934414,-0.010755528,0.079834999,0.020185128,-0.002256245,0.0769952,0.141189435,0.0518266,0.012051747,0.026471166,0.013430949,0.117929093,0.009117547,0.044167786,0.217673183,0.080054087,0.065096459,0.102389894,0.049142574,-0.024619436,-0.00011,0.061897371,0.086274064,-0.017122461,-0.085472655,0.219478832,0.259405715,0.329050265,0.189806727,0.092307095,0.108028142,0.180274285,0.211852882,0.244475943,0.155553041,0.172510613,0.13802498,0.155995929,0.09451217,0.27640861,0.187472252,0.198918313,0.276407195,0.224588746,0.303350816,0.232569955,0.401683284,0.288757516,0.316663948,0.301228084,0.261734801,0.355112987,0.245599302,0.383193701,0.383933106,0.393615716,0.311739599
"300800000",Bataan,30800000.000000000000000,Prov,,,1st,,,,PH03008,Bataan,,PH03,PH,2.661168335530000,0.104455461105000,1244.953649799999994,66,43,34,0,0,0,0,0,0.00112,0,0,0,0,0,0,0,0.32454,0,0.02291,0,0,0,0,0,0,0.09359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02937,0,0.23538,0.00112,0.06072,0,0,0,0,0.15521,0.06655,0,0,0,0.03612,0,0,0,0.409813763,0.393007006,0.743548089,0.734426308,0.719873623,0.694261064,0.071917179,0.051238631,0.63889334,0.759786476,0.838160476,0.916714869,0.882895265,0.477427915,0.850730423,4.596215714,2.119209938,1.384173275,1.042356755,0.289534547,1.035557189,0.84825085,1.141358023,0.494863779,0.964944424,1.120094034,1.144026568,0.876466021,1.202294517,1.03155373,1.065047438,1.178429682,0.982944771,1.222930067,1.277304981,1.416939043,1.198460453,1.338759747,1.166075694,0,1.178689588,1.828541357,1.321451832,0.766471221,1.206372343,1.31961667,1.27037367,1.412030735,1.423765478,1.765554551,0.814280807,0.528237201,1.321918627,0,1.548789174,1.613438793,1.891766082,1.150847778,1.441103569,1.832019419
